Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q57,100.77,51.6,5.093,-0.30621,1.490e-2,0.0148,0.015,864,2.360e-4,2.360e-4,2.360e-4,57_58:1.392e-2; 57_56:1.029e-2,57_58:412.444; 57_56:384
Q58,64.33,84.97,4.965,-0.30941,1.640e-2,0.0172,0.0156,864,1.861e-4,1.861e-4,1.861e-4,58_71:3.416e-2; 58_59:6.834e-3; 58_57:1.392e-2,58_71:490.667; 58_59:462.222; 58_57:448
Q59,87.94,81.48,5.019,-0.30794,5.400e-3,0.0074,0.0034,864,2.191e-4,2.191e-4,2.191e-4,59_60:3.419e-2; 59_58:6.834e-3,59_60:440.889; 59_58:426.667
Q60,74.75,42.76,5.141,-0.30605,4.270e-2,0.0484,0.037,864,2.360e-3,2.360e-3,2.360e-3,60_61:5.079e-2; 60_59:3.419e-2; 60_53:5.154e-2,60_61:426.667; 60_59:405.333; 60_53:419.556
Q61,169.49,239.74,4.875,-0.3101,3.030e-2,0.0356,0.025,864,1.555e-4,1.555e-4,1.555e-4,61_60:5.079e-2; 61_62:1.155e-2,61_60:462.222; 61_62:526.222
Q62,56.1,164.05,4.961,-0.30931,4.300e-3,0.0054,0.0032,864,2.213e-4,2.213e-4,2.213e-4,62_72:2.163e-2; 62_61:1.155e-2; 62_63:8.544e-3,62_72:305.778; 62_61:561.778; 62_63:512
Q63,138.82,168.96,5.045,-0.30798,5.900e-3,0.0078,0.004,864,1.896e-4,1.896e-4,1.896e-4,63_64:1.097e-2; 63_62:8.544e-3,63_64:440.889; 63_62:547.556
Q64,114.44,90.9,5.258,-0.30505,1.360e-2,0.0114,0.0158,864,2.654e-4,2.654e-4,2.654e-4,64_63:1.097e-2; 64_54:8.848e-3; 64_65:1.133e-2,64_63:405.333; 64_54:341.333; 64_65:853.333
Q65,93.29,145.4,5.101,-0.30611,3.400e-3,0.0054,0.0014,864,1.713e-4,1.713e-4,1.713e-4,65_66:2.654e-2; 65_64:1.133e-2,65_66:398.222; 65_64:817.778
Q66,104.07,73.79,5.237,-0.29458,2.840e-2,0.0234,0.0334,864,3.169e-3,3.169e-3,3.169e-3,66_73:4.567e-2; 66_65:2.654e-2; 66_67:3.814e-2,66_73:405.333; 66_65:433.778; 66_67:888.889
Q67,147.15,189.35,4.912,-0.30058,3.900e-2,0.0492,0.0288,864,4.629e-4,4.629e-4,4.629e-4,67_68:1.284e-2; 67_66:3.814e-2,67_68:433.778; 67_66:924.444
Q68,72.42,79.48,5.135,-0.30448,7.700e-3,0.01,0.0054,864,4.395e-4,4.395e-4,4.395e-4,68_69:8.798e-3; 68_67:1.284e-2; 68_55:1.095e-2,68_69:440.889; 68_67:398.222; 68_55:433.778
Q69,77.81,157.38,4.944,-0.30828,3.870e-2,0.0428,0.0346,864,2.001e-4,2.001e-4,2.001e-4,69_68:8.798e-3; 69_70:7.314e-3,69_68:476.444; 69_70:369.778
Q70,83.59,78.36,5.155,-0.30506,4.470e-2,0.0496,0.0398,864,2.817e-4,2.817e-4,2.817e-4,70_69:7.314e-3; 70_74:2.148e-2,70_69:334.222; 70_74:817.778
